Word;Definition;Level;Explained
Mellifluous;Sladké zvuky nebo melodie;5;FALSE
Serendipity;Náhodný objev nebo příjemný nález;5;FALSE
Quixotic;Idealistický a nepraktický;5;FALSE
Petrichor;Vůně země po dešti;5;FALSE
Lethargic;Unavený a neenergetický;5;FALSE
Epiphany;Náhlé pochopení nebo odhalení;5;FALSE
Resilient;Odporný vůči tlaku nebo stresu;5;FALSE
Ephemeral;Krátkodobý nebo pomíjivý;5;FALSE
Panacea;Univerzální lék nebo řešení;5;FALSE
Sonder;Pocit uvědomění si, že každý má svůj vlastní příběh;5;FALSE
Mellower;Stárnoucí nebo zklidňující se;5;FALSE
Whimsical;Výstřední a nevšední;5;FALSE
Enigmatic;Tajemný a záhadný;5;FALSE
Quintessential;Reprezentující nejlepší či nejtypičtější příklad;5;FALSE
Nebulous;Nejasný a mlhavý;5;FALSE
